step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
165.0,46,555.0,8.538461538461538,2.148300523446381,46,1746.0,0.04555988037148752,46,1746.0
170.0,52,784.0,12.25,2.2503107371299387,52,1972.0,0.03510630522781082,52,1972.0
175.0,52,1044.0,17.694915254237287,1.4711799277002309,52,2232.0,0.03327156998216736,52,2232.0
180.0,48,1061.0,18.946428571428573,0.8913350899292986,48,2307.0,0.012055543426776706,48,2307.0
185.0,38,915.0,15.25,3.269383706504846,38,2198.0,0.15588435122699348,38,2198.0
190.0,32,805.0,13.416666666666666,3.3566411674516043,32,2220.0,0.1283448542206824,32,2220.0
195.0,30,631.0,10.879310344827585,2.2201317163873706,30,2376.0,0.10040070507883989,30,2376.0
200.0,30,436.0,8.074074074074074,1.119231605038258,30,2362.0,0.06879742722627726,30,2362.0
205.0,27,276.0,4.6,2.439780493903979,27,2217.0,0.11067488884727765,27,2217.0
210.0,30,294.0,4.741935483870968,2.4989996326903268,30,2332.0,0.0871833282563643,30,2332.0
215.0,42,471.0,7.85,1.4557161296179575,42,2486.0,0.012364348567685432,42,2486.0
220.0,53,717.0,10.863636363636363,2.468395542652544,53,2734.0,0.11811642668081027,53,2734.0
225.0,55,988.0,15.935483870967742,1.3069831346097598,55,3005.0,0.09446251257399561,55,3005.0
230.0,52,1032.0,16.125,0.886810089012442,52,3065.0,0.05015711972840542,52,3065.0
235.0,46,928.0,14.5,1.6183024211422246,46,2907.0,0.04436352696354502,46,2907.0
240.0,36,708.0,11.0625,2.1086769529765057,36,2937.0,0.05365365133067245,36,2937.0
245.0,22,287.0,4.704918032786885,2.803956632263673,22,2788.0,0.12506058045351656,22,2788.0
250.0,18,132.0,2.2,3.292090040095424,18,2720.0,0.12121283633895179,18,2720.0
255.0,30,256.0,3.878787878787879,3.209126817840716,30,2813.0,0.13365354585339698,30,2813.0
260.0,36,318.0,5.0476190476190474,2.2808136251064948,36,2753.0,0.09240176460533407,36,2753.0
265.0,36,348.0,5.612903225806452,2.5263761173853627,36,2504.0,0.11097531789791959,36,2504.0
270.0,34,401.0,6.467741935483871,3.7285131688779978,34,2059.0,0.11473208140821868,34,2059.0
275.0,26,355.0,6.016949152542373,3.536415305907233,26,2057.0,0.12401095013566148,26,2057.0
280.0,16,203.0,3.830188679245283,3.8434653587101657,16,1920.0,0.19935393628737585,16,1920.0
285.0,18,208.0,3.7142857142857144,3.765100258887071,18,1880.0,0.16244228645709527,18,1880.0
290.0,32,336.0,5.1692307692307695,3.6326575540677584,32,1979.0,0.16037791690009096,32,1979.0
295.0,36,412.0,6.5396825396825395,2.913110099219202,36,1931.0,0.1404728238469609,36,1931.0
300.0,34,428.0,7.133333333333334,2.579415160585388,34,1645.0,0.11572172957065935,34,1645.0
305.0,34,491.0,7.919354838709677,3.76789143575275,34,1262.0,0.1153609994246088,34,1262.0
310.0,24,403.0,6.948275862068965,3.418436787461517,24,1285.0,0.1187168245738704,24,1285.0
315.0,16,267.0,4.944444444444445,4.178326711276875,16,1199.0,0.1966645519917403,16,1199.0
