step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.605372741079014,0,0.0,0.9313256822700731,0,0.0
10.0,0,0.0,0.0,12.527804391843725,0,0.0,0.9237132853483748,0,0.0
15.0,2,2.0,0.1111111111111111,7.774534989718327,2,2.0,0.43177296138956905,2,2.0
20.0,8,38.0,2.111111111111111,7.194585350911428,8,38.0,0.3851473571605852,8,38.0
25.0,10,81.0,3.6818181818181817,4.608355636570396,10,81.0,0.28155707191123924,10,81.0
30.0,14,145.0,7.25,3.716372010899515,14,145.0,0.27251144546084194,14,145.0
35.0,15,216.0,9.0,2.312911456553122,15,216.0,0.17862627039137605,15,216.0
40.0,20,312.0,10.4,3.550301182478811,20,312.0,0.27033296562667236,20,312.0
45.0,24,421.0,12.382352941176471,3.369469584342597,24,421.0,0.25051412826727804,24,421.0
50.0,20,381.0,10.583333333333334,2.3168678254903217,20,469.0,0.15850906391875969,20,469.0
55.0,18,373.0,9.325,4.39161776207491,18,478.0,0.23725599600492284,18,478.0
60.0,17,450.0,11.25,5.918014735357727,17,478.0,0.24634584866828654,17,478.0
65.0,18,540.0,13.170731707317072,6.650601500354306,18,540.0,0.30493113219753554,18,540.0
70.0,18,630.0,17.5,5.420330795034291,18,630.0,0.16511880108608118,18,630.0
75.0,20,726.0,17.285714285714285,6.254179749247726,20,726.0,0.38180379437656337,20,726.0
80.0,20,826.0,21.17948717948718,5.838561997897485,20,826.0,0.32964447439307515,20,826.0
85.0,26,936.0,22.285714285714285,4.073389132112141,26,936.0,0.21891637764896743,26,936.0
90.0,28,1076.0,27.58974358974359,3.5505067484724613,28,1076.0,0.15863647008343376,28,1076.0
95.0,28,1216.0,28.952380952380953,3.6959539143089835,28,1216.0,0.1672121672834486,28,1216.0
100.0,25,918.0,22.95,3.3725905156283162,25,1193.0,0.17481985794624225,25,1193.0
105.0,18,716.0,16.272727272727273,4.480354694595864,18,1020.0,0.1937076247869291,18,1020.0
110.0,15,772.0,16.083333333333332,6.055397941044924,15,987.0,0.31608062249747637,15,987.0
115.0,22,865.0,18.804347826086957,5.37291450109413,22,1069.0,0.2640973901463387,22,1069.0
120.0,24,940.0,21.363636363636363,3.4293501439561243,24,1087.0,0.12295714485393525,24,1087.0
125.0,22,1025.0,23.295454545454547,5.01881196217345,22,1074.0,0.23800725474316609,22,1074.0
130.0,25,1141.0,25.931818181818183,4.942359548533259,25,1143.0,0.15640543317018332,25,1143.0
135.0,26,1171.0,26.613636363636363,3.9712236668611656,26,1173.0,0.13864434577388068,26,1173.0
140.0,30,1313.0,31.261904761904763,3.6504507309145517,30,1315.0,0.15246034478683274,30,1315.0
145.0,29,1442.0,33.53488372093023,2.794586554917914,29,1444.0,0.1493043326785815,29,1444.0
150.0,32,1597.0,33.270833333333336,4.1806660742834465,32,1599.0,0.2366124634101534,32,1599.0
155.0,35,1762.0,37.48936170212766,2.109914481070315,35,1764.0,0.07258444974711249,35,1764.0
160.0,42,1961.0,39.22,1.9879416362335156,42,1963.0,0.11106449492378774,42,1963.0
165.0,44,2174.0,44.36734693877551,0.7918826067413234,44,2176.0,0.040899531011745816,44,2176.0
170.0,41,1545.0,28.61111111111111,1.6756306218381507,41,2089.0,0.10889359385680505,41,2089.0
175.0,35,931.0,17.24074074074074,2.713522837532893,35,1499.0,0.07475526385239585,35,1499.0
180.0,33,1012.0,17.448275862068964,3.809014536997121,33,1312.0,0.10264054580519646,33,1312.0
185.0,38,1193.0,19.883333333333333,4.513853817743896,38,1277.0,0.18127771173641913,38,1277.0
190.0,39,1384.0,24.280701754385966,3.315398726085403,39,1386.0,0.11934272951252979,39,1386.0
195.0,44,1594.0,28.98181818181818,2.423596537152359,44,1596.0,0.04123828174210711,44,1596.0
200.0,45,1815.0,34.24528301886792,1.6551850518678397,45,1817.0,0.0409438124548493,45,1817.0
205.0,48,2043.0,39.28846153846154,1.0072282899427178,48,2046.0,0.04018415192201455,48,2046.0
210.0,48,2283.0,45.66,0.5666262769054328,48,2286.0,0.039475268315954846,48,2286.0
215.0,48,2523.0,50.46,0.02472170171147398,48,2526.0,0.0017927629855199203,48,2526.0
220.0,50,2771.0,47.775862068965516,1.8101694388525853,50,2774.0,0.12683722487887658,50,2774.0
225.0,50,3021.0,52.08620689655172,1.3958126141897353,50,3024.0,0.10024730421689257,50,3024.0
230.0,54,3281.0,54.68333333333333,1.2856437695342813,54,3284.0,0.04750786529875063,54,3284.0
235.0,54,3551.0,59.18333333333333,1.2778911380532867,54,3554.0,0.030816870837495215,54,3554.0
240.0,55,3823.0,64.79661016949153,0.662884575680321,55,3826.0,0.00032763390198091354,55,3826.0
245.0,56,4103.0,70.74137931034483,0.47001966674091533,56,4106.0,0.03345432348210817,56,4106.0
250.0,57,4384.0,75.58620689655173,0.004645869312335759,57,4387.0,0.000345554220647647,57,4387.0
255.0,58,4673.0,73.015625,1.084484845932803,58,4676.0,0.08207835232548902,58,4676.0
260.0,58,4963.0,77.546875,0.8921203405794982,58,4966.0,0.06763737137195133,58,4966.0
265.0,60,5260.0,79.6969696969697,1.2317624411538957,60,5263.0,0.0584449019140139,60,5263.0
270.0,60,5560.0,84.24242424242425,1.0022508842375775,60,5563.0,0.014794615290051747,60,5563.0
275.0,62,5866.0,90.24615384615385,0.5889960684005593,62,5869.0,1.2991973660392477e-06,62,5869.0
280.0,62,6176.0,96.5,0.40827464891519916,62,6179.0,0.028364508919400934,62,6179.0
285.0,63,6487.0,101.359375,0.0032749400573326547,63,6490.0,0.0002457993205618131,63,6490.0
290.0,64,6807.0,94.54166666666667,1.2884596773616381,64,6810.0,0.09948688026365354,64,6810.0
295.0,60,6718.0,93.30555555555556,1.1962124027780598,60,6851.0,0.08403575322192884,60,6851.0
300.0,62,7026.0,97.58333333333333,1.492804528982013,62,7029.0,0.056854023810432926,62,7029.0
