step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.961248849888202,0,0.0,0.9288363033210963,0,0.0
10.0,0,0.0,0.0,11.64659759842589,0,0.0,0.8500402680074637,0,0.0
15.0,4,9.0,0.5,7.1765252075404895,4,9.0,0.47541539063091975,4,9.0
20.0,8,41.0,2.2777777777777777,6.457409042533702,8,41.0,0.373128265490749,8,41.0
25.0,6,67.0,3.1904761904761907,4.540638521442397,6,70.0,0.25457937463248836,6,70.0
30.0,8,106.0,5.0476190476190474,7.096534608718591,8,106.0,0.3853362641146738,8,106.0
35.0,9,147.0,5.88,5.881976440950689,9,147.0,0.2754846230924646,9,147.0
40.0,15,211.0,7.535714285714286,5.509199915366027,15,211.0,0.34654450945623205,15,211.0
45.0,11,243.0,8.379310344827585,5.082174574349856,11,264.0,0.34346115467186905,11,264.0
50.0,14,302.0,9.741935483870968,5.396858271730143,14,303.0,0.2632844531289641,14,303.0
55.0,13,205.0,5.857142857142857,5.647499291600488,13,295.0,0.24904837984207717,13,295.0
60.0,14,252.0,8.4,5.999041590289859,14,269.0,0.24906262662998638,14,269.0
65.0,10,272.0,8.0,6.400788040214419,10,295.0,0.259234427261218,10,295.0
70.0,10,314.0,10.827586206896552,6.548650180523999,10,324.0,0.28871023267326323,10,324.0
75.0,10,349.0,9.18421052631579,6.6644433442293876,10,363.0,0.39791599680777956,10,363.0
80.0,16,417.0,12.636363636363637,6.345955301198627,16,427.0,0.38454109927407515,16,427.0
85.0,11,438.0,11.526315789473685,4.686375761204171,11,470.0,0.2617287149351672,11,470.0
90.0,16,499.0,14.676470588235293,5.173635713527876,16,513.0,0.27240555363148766,16,513.0
95.0,16,566.0,14.894736842105264,5.502862894253827,16,573.0,0.252938560426586,16,573.0
100.0,21,663.0,18.416666666666668,4.6320037623043016,21,670.0,0.18754624826011076,21,670.0
105.0,19,722.0,19.513513513513512,4.002948915201089,19,752.0,0.20633460448703542,19,752.0
110.0,15,774.0,19.846153846153847,5.683187601656057,15,800.0,0.32722616886331296,15,800.0
115.0,17,852.0,20.78048780487805,5.042630612730139,17,878.0,0.2619960406427929,17,878.0
120.0,27,965.0,24.125,3.2466654925232055,27,991.0,0.12452153670137027,27,991.0
125.0,24,1043.0,25.4390243902439,2.9386015150327034,24,1092.0,0.14877860771650364,24,1092.0
130.0,19,1109.0,27.048780487804876,4.703931776588853,19,1144.0,0.2228769294419591,19,1144.0
135.0,18,1106.0,25.136363636363637,5.071393873188242,18,1132.0,0.22100034666325802,18,1132.0
140.0,26,1223.0,30.575,3.3284254917114624,26,1249.0,0.15483082903304657,26,1249.0
145.0,25,1317.0,29.931818181818183,3.0333455978730113,25,1357.0,0.18508725881196678,25,1357.0
150.0,21,1402.0,29.208333333333332,5.532736075348704,21,1430.0,0.32666388618767045,21,1430.0
155.0,17,1415.0,30.106382978723403,3.981250242013692,17,1470.0,0.16061036923765867,17,1470.0
160.0,27,1535.0,31.3265306122449,3.9158706046203924,27,1555.0,0.1608972211910091,27,1555.0
165.0,28,1644.0,35.73913043478261,3.020001866003205,28,1678.0,0.10768364329801788,28,1678.0
170.0,25,1745.0,35.61224489795919,4.436962757990685,25,1771.0,0.2037236139667964,25,1771.0
175.0,25,1839.0,39.97826086956522,4.10956850056881,25,1854.0,0.14320142681325312,25,1854.0
180.0,30,1976.0,43.91111111111111,2.8131083077482164,30,1991.0,0.11633163188855203,30,1991.0
