step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.977458689969218,0,0.0,0.9932610022754818,0,0.0,0.9940199552464837,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9930271761143906,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9923945516766178,0,0.0,0.9936449676211856,0,0.0,0.9932476167576425,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9925955752220768,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.264932216336485,0,0.0,0.9792862319747208,0,0.0,0.9813313093766117,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9031676407585503,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9784494419391186,0,0.0,0.9810119347328101,0,0.0,0.9799181919973752,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9668033270978542,0,0.0,1.0,0,0.0
15.0,1,1.0,0.025,12.184555807546163,0,0.0,0.7668491285693549,0,0.0,0.9773616700112451,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9669726495857246,0,0.0,0.5135871954267494,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7509265394757401,0,0.0,0.9551213854751187,0,0.0,0.9830470093265765,0,0.0,0.9586798343131302,0,0.0,1.0,0,0.0,0.9882517393372121,0,0.0,0.9741121987528364,0,0.0,0.8355782905593343,1,1.0
20.0,4,16.0,0.2857142857142857,11.532536987501398,2,8.0,0.7216960103914931,0,0.0,0.8251395962132424,0,0.0,1.0,0,0.0,1.0,0,0.0,0.943348569609229,0,0.0,0.9702813718583186,0,0.0,1.0,0,0.0,1.0,2,8.0,0.5513241558656469,0,0.0,0.8048335489847169,0,0.0,0.9651841316847791,0,0.0,0.9492507740476303,0,0.0,1.0,0,0.0,0.9658041868689751,0,0.0,0.9347190057068813,0,0.0,0.9383176515836618,4,16.0
25.0,5,14.0,0.19444444444444445,10.35851360170932,0,1.0,0.6600894559908851,2,6.0,0.7257041558576134,0,0.0,0.9191197497848234,0,0.0,0.9972056094186866,0,0.0,0.9612587516910208,0,0.0,0.9767296917348756,0,0.0,1.0,0,0.0,1.0,0,3.0,0.6226584586624606,2,6.0,0.5621975638982263,0,4.0,0.8087698270279207,1,2.0,0.4573982951218363,0,4.0,0.454811438659652,0,0.0,1.0,0,0.0,0.9594143939885366,0,0.0,0.9093019946011207,5,26.0
30.0,8,32.0,0.4,10.257438625757388,2,7.0,0.6737656404243015,1,3.0,0.4406935970285845,0,0.0,0.9687839956553707,0,0.0,0.9454565598480454,0,0.0,0.9466880303316426,0,0.0,0.9653097395210861,0,0.0,0.974016325554752,0,0.0,1.0,0,0.0,0.94265950351592,5,23.0,0.3162845692359492,0,4.0,0.9116905830325026,0,4.0,0.654574820963288,0,4.0,0.9029310616745547,0,0.0,1.0,0,0.0,0.9733088879207051,0,3.0,0.7342720904865836,8,48.0
35.0,5,16.0,0.16666666666666666,10.49003485756492,1,2.0,0.7035266027527382,2,11.0,0.6150872056631712,0,0.0,0.925087629657283,0,0.0,0.9827201594286324,0,0.0,0.755664433287233,0,0.0,0.9608495920558306,0,0.0,0.8375577726880988,0,0.0,0.9972056094186866,0,0.0,0.9144514366263135,0,17.0,0.4472675232911283,0,4.0,0.7959350639058783,1,9.0,0.8216096237211613,0,4.0,0.9101152117983187,0,4.0,0.43235490289622797,1,1.0,0.6351397780471794,0,3.0,0.9562244899850776,5,55.0
40.0,12,41.0,0.36607142857142855,10.007696332950351,3,14.0,0.6259432801886778,1,6.0,0.8270828701100839,0,0.0,0.9616875176438299,0,0.0,0.9191197497848234,2,6.0,0.5095451879317612,0,0.0,0.9398105070119783,0,0.0,0.9642708938451181,0,0.0,0.7292099926483477,0,4.0,0.580454613400919,0,0.0,0.8291488445558931,2,8.0,0.6412012700984626,0,4.0,0.7624966857337311,2,5.0,0.6356653348419011,0,4.0,0.8515978000753114,2,8.0,0.6225727760687808,0,2.0,0.6497803806715791,12,61.0
45.0,14,49.0,0.4083333333333333,9.136289751335612,1,11.0,0.5386852821239593,3,15.0,0.705068739524835,0,0.0,0.8890578280365771,0,0.0,0.9496868700381145,0,3.0,0.5785109124369479,0,4.0,0.6988361361055468,0,0.0,0.9242636746747234,1,3.0,0.766523676558908,3,15.0,0.5867608655517077,0,0.0,0.9639771094014341,1,6.0,0.43643523664665945,1,8.0,0.2065435428763028,2,13.0,0.628903376845326,0,4.0,0.892261710993458,0,3.0,0.7386523534585869,2,9.0,0.2140799317037034,14,94.0
50.0,12,64.0,0.47058823529411764,10.048927230238663,3,12.0,0.6318775815379275,4,29.0,0.5529212709746835,0,4.0,0.8200262730665512,0,0.0,0.9206227027330074,0,0.0,0.9085779597858594,0,4.0,0.8801129348670861,0,0.0,0.6422581713769621,2,10.0,0.6511651598947968,0,9.0,0.642041794160466,0,0.0,0.9059774405008151,2,16.0,0.7365436212367201,0,10.0,0.5858166489585932,0,0.0,0.8340505668298013,0,4.0,0.7732630823425599,1,1.0,0.7159360876256335,0,3.0,0.8054995727333678,12,102.0
