step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.386272900391432,0,0.0,0.9459335044049533,0,0.0,0.9520520709580396,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9565967689760287,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9509303063769989,0,0.0,0.9590530122021534,0,0.0,0.949318457684438,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9538132469867964,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.182118932982242,0,0.0,0.9563927513406726,0,0.0,0.9599806201626233,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8833132691444302,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9542399463957362,0,0.0,0.956310545940438,0,0.0,0.9545729418645069,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9211932063207084,0,0.0,1.0,0,0.0
15.0,1,1.0,0.025,11.83278620240663,0,0.0,0.8292268102940684,0,0.0,0.9530977148834145,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9437479833787715,0,0.0,0.7360339994759886,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9273781070393954,0,0.0,0.7487877113975686,0,0.0,0.940310448588422,0,0.0,0.9606529739280519,0,0.0,0.9940254279138276,0,0.0,0.9464354586230622,1,1.0,0.626050009173321,0,0.0,1.0,1,1.0
20.0,3,8.0,0.14285714285714285,10.75221654785432,2,6.0,0.671428098673365,0,0.0,0.9438541374826053,0,0.0,1.0,0,0.0,1.0,0,0.0,0.940278158583304,0,0.0,0.9325043787324984,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6137293937940046,1,2.0,0.5899990598353566,0,0.0,0.9599022125153823,0,0.0,0.9443014289278865,0,0.0,0.9600402968388194,0,0.0,0.3453599341318872,0,0.0,0.785790398628187,0,0.0,0.3711618238800237,3,8.0
25.0,4,11.0,0.1527777777777778,10.620293725896435,0,1.0,0.6802627770400513,0,0.0,0.8662921036565588,0,0.0,1.0,0,0.0,0.40909796333391574,0,0.0,0.9731664918479005,0,0.0,0.9454758638416939,0,0.0,0.9720674989848159,0,0.0,1.0,3,10.0,0.5180051576370114,0,0.0,0.7309084648789264,0,4.0,0.8002925558280428,0,0.0,0.8330747200196985,1,1.0,0.0046326288583125805,0,4.0,0.4262927126362448,0,0.0,0.962524159339798,0,2.0,0.8899167106154527,4,22.0
30.0,4,13.0,0.1625,10.862178557752191,1,5.0,0.7537855695208037,1,4.0,0.6093886211864806,0,2.0,0.41033179238099277,0,0.0,0.9418653269896998,0,0.0,0.9496325601323372,0,0.0,0.785125761380291,0,0.0,0.946007954793471,0,0.0,1.0,0,8.0,0.6190262586935245,0,0.0,0.9219475079651892,0,4.0,0.8863557415314036,2,4.0,0.5593869405200259,0,2.0,0.4451265768091554,0,4.0,0.874571707109798,0,0.0,0.9368327471576595,0,2.0,0.9364128339737149,4,35.0
35.0,7,22.0,0.22916666666666666,10.110530953339234,3,16.0,0.5805872535432551,0,1.0,0.7116936920995064,0,2.0,0.9696118187167025,0,0.0,0.4232163169485772,0,0.0,0.9620108997194317,2,4.0,0.6219850891651858,0,0.0,0.9703445111590803,0,0.0,0.9720674989848159,0,0.0,0.8832736894865867,1,1.0,0.7354658335372959,1,5.0,0.8310951738928788,0,3.0,0.6104639358741052,0,6.0,0.8200682978589767,0,4.0,0.9387154424048333,0,0.0,0.9030511309944144,0,2.0,0.5603146306105415,7,44.0
40.0,7,21.0,0.1875,9.952780134082827,1,11.0,0.5915126914241783,0,2.0,0.853313882088429,0,4.0,0.6385227650523222,1,3.0,0.7599468660784657,0,0.0,0.9744007146692131,0,0.0,0.6286438504299899,0,4.0,0.4704560108457855,0,0.0,0.9684263282015371,0,0.0,0.9268782552515329,2,7.0,0.5581536154974678,2,8.0,0.6055000847138379,0,3.0,0.8994740445066274,0,6.0,0.8842605190823355,0,0.0,0.8639115604475447,0,0.0,0.9514865980953021,1,4.0,0.4893901057500392,7,52.0
45.0,13,50.0,0.4166666666666667,9.498488865523468,3,11.0,0.6237562013801436,0,4.0,0.7574994258146351,1,8.0,0.7120924948861619,0,0.0,0.9137676223220366,0,0.0,0.9398279842023894,0,0.0,0.794822250719201,0,4.0,0.8407866826995228,0,2.0,0.6926372004022004,1,3.0,0.6245808955108799,4,23.0,0.5679476250951682,2,7.0,0.34947184866569814,0,7.0,0.8120128532028961,0,6.0,0.6289139323939937,0,0.0,1.0,0,0.0,0.9458433703909888,2,9.0,0.49882053060914494,13,84.0
