step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.920850339652068,0,0.0,0.9498227642902386,0,0.0,0.9510930578139104,0,0.0,1.0,0,0.0,1.0,0,0.0,0.940480850254263,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9475755571975002,0,0.0,0.9489422861552392,0,0.0,0.9511471671913656,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9477487643249358,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.167908201894917,0,0.0,0.9293300266412978,0,0.0,0.971006883402921,0,0.0,1.0,0,0.0,1.0,0,0.0,0.90509428111939,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9689982855988742,0,0.0,0.9700987912417056,0,0.0,0.9299640051527425,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.969483839664367,0,0.0,1.0,0,0.0
15.0,1,1.0,0.025,12.018355224218988,1,1.0,0.7515554757628282,0,0.0,0.973086020881679,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9385999328681571,0,0.0,0.5133233335225723,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9387719081395979,0,0.0,0.9617763301328925,0,0.0,0.9338000323756022,0,0.0,0.8278881449895227,0,0.0,0.9443893614538457,0,0.0,0.9296878760293662,0,0.0,0.9250435431242859,0,0.0,0.8925067092791943,1,1.0
20.0,0,0.0,0.0,12.166011719305146,0,0.0,0.8018770786052917,0,0.0,0.8488970218896995,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9361271010576744,0,0.0,0.9363699517112626,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9304200112484641,0,0.0,0.9634379628204961,0,0.0,0.9671344648012153,0,0.0,0.8714081156755871,0,0.0,0.9476339180903245,0,0.0,0.960821878963135,0,0.0,0.9157319043568484,0,0.0,0.9398189954070949,0,0.0
25.0,3,8.0,0.1111111111111111,12.049407473748431,2,4.0,0.7868754447274063,0,2.0,0.9167477334269677,0,0.0,0.8032517051964879,0,0.0,0.9349667857348738,0,0.0,0.9398961915475913,0,0.0,0.8722530117778904,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9648251245979184,0,0.0,0.9465394697547712,0,0.0,0.8336864889976727,1,4.0,0.7389379767489475,0,0.0,0.9459745739012093,0,0.0,0.9510376458047265,0,0.0,0.927395930889086,0,0.0,0.9459995145626959,3,10.0
30.0,3,5.0,0.0625,10.918300739489693,0,0.0,0.7256621715984536,1,3.0,0.8210035396329788,0,0.0,0.95243249802412,0,0.0,0.9387521061688506,0,0.0,0.9643088871774528,1,2.0,0.6304578168932069,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9437689712785676,0,0.0,0.9635417457690604,1,4.0,0.5537913608395696,0,0.0,0.6451773629590524,0,0.0,0.9497945947362529,0,0.0,0.921789597771231,0,0.0,0.9449023117295473,0,2.0,0.7737825637895741,3,11.0
35.0,7,24.0,0.25,10.551945269343607,3,9.0,0.6483243775310705,2,8.0,0.6071041174247124,0,0.0,0.883034511032824,0,0.0,0.928819035094596,0,0.0,0.9689277327752768,0,0.0,0.6447857832700458,0,2.0,0.6905498920173786,0,0.0,0.9249472596844046,0,0.0,0.9591501437072695,0,0.0,0.9524428131688809,0,5.0,0.7864298350796041,2,11.0,0.46576885592649053,0,0.0,0.7909199905149716,0,0.0,0.8845545621201415,0,0.0,0.7760117664658034,0,2.0,0.905984725731959,7,37.0
40.0,7,18.0,0.16071428571428573,10.264501843870107,1,5.0,0.6538465507527127,1,8.0,0.5357133284261109,0,0.0,0.6624365083296231,0,0.0,0.8426605806687185,0,0.0,0.8251908572538598,0,0.0,0.9325930560299852,0,3.0,0.8904661649446999,0,0.0,0.9477279050494715,0,0.0,0.9516675308366803,0,0.0,0.9639729854852823,0,2.0,0.9347035663247109,1,11.0,0.6640480541896424,1,9.0,0.5483229164529354,0,0.0,0.9014174850835331,2,6.0,0.6644781564565868,1,4.0,0.5540386527600349,7,48.0
45.0,12,57.0,0.475,10.058021275789347,3,13.0,0.6359071171173577,1,10.0,0.798436587448775,1,8.0,0.3955494181978786,0,0.0,0.7237467068866739,2,6.0,0.5675254099799106,0,0.0,0.9453677427248025,0,3.0,0.8317671197857994,0,0.0,0.9483200049854221,0,0.0,0.911010920010432,0,0.0,0.8882368154405169,0,0.0,0.8351720153597804,2,19.0,0.7887148262548365,0,6.0,0.7019344684868063,0,0.0,0.8141743853774125,0,1.0,0.6639709917504419,3,20.0,0.30947113307622437,12,86.0
