step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.788501055422067,0,0.0,0.9362371360636565,0,0.0,0.9415547075462944,0,0.0,1.0,0,0.0,1.0,0,0.0,0.936363465011284,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9353396810638825,0,0.0,0.9355065606720129,0,0.0,0.9347822989802324,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9430173730154235,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.892445274106752,0,0.0,0.9338812608657248,0,0.0,0.9414008369250679,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9387583548441047,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9400144027135281,0,0.0,0.9356271277935005,0,0.0,0.9413184383795733,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8073481853245448,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.956407936039364,0,0.0,0.7565155292370649,0,0.0,0.8229689016826326,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9390655465833112,0,0.0,0.9414189165672783,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9575852104282039,0,0.0,0.9530830220281268,0,0.0,0.9440434518957294,0,0.0,0.9078936107527276,0,0.0,0.9115432939033443,0,0.0,0.9116641207772089,0,0.0,0.9567087663657005,0,0.0,0.3662478263608733,0,0.0
20.0,3,11.0,0.19642857142857142,11.822292925501703,2,8.0,0.6687548241178093,1,3.0,0.750751788110199,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9513387680733659,0,0.0,0.934358752494146,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9435642091919886,0,0.0,0.9775646579053563,0,0.0,0.9586512629877268,0,0.0,0.8812980275586166,0,0.0,0.927718611919469,0,0.0,0.9141058486444461,0,0.0,0.945186821004951,0,0.0,0.8988039867944533,3,11.0
25.0,4,15.0,0.20833333333333334,11.106573233395252,0,3.0,0.7506502394486761,2,12.0,0.5709873103659909,0,0.0,0.9323755265843735,0,0.0,1.0,0,0.0,0.9444799018394345,0,0.0,0.9393503287449926,0,0.0,0.9651368793205193,0,0.0,1.0,0,0.0,0.9718838552387804,1,2.0,0.6262298362127773,0,2.0,0.8418168161928683,0,0.0,0.6793835257675319,0,0.0,0.9423715843092845,1,1.0,0.6358875471492239,0,0.0,0.9609499802229329,0,0.0,0.947911981486852,4,20.0
30.0,6,17.0,0.2125,10.490195160101377,1,3.0,0.7192273575516185,0,6.0,0.6168563992847992,0,0.0,0.9537869269868395,0,0.0,0.883843470548778,0,0.0,0.9334290511215202,0,0.0,0.9470054642339516,0,0.0,0.9372528773656233,0,0.0,1.0,0,0.0,0.7785562958501543,3,12.0,0.4972154279413988,1,5.0,0.7600107655976868,1,3.0,0.5149099317176529,0,0.0,0.9301129332528056,0,0.0,0.972716971491394,0,0.0,0.9208261725758802,0,1.0,0.8363548074798489,6,30.0
35.0,9,29.0,0.3020833333333333,9.916894406027772,0,0.0,0.7021752923942413,1,6.0,0.5331775316312408,0,0.0,0.8042366168518484,0,2.0,0.9579633222834346,2,3.0,0.5574348273959937,0,0.0,0.9515232999476347,0,0.0,0.9288056245850348,0,0.0,0.9651368793205193,1,5.0,0.7218317240720458,0,5.0,0.5753090812029732,3,15.0,0.7486649717825714,2,12.0,0.6095684943189198,0,0.0,0.6629306598663691,0,2.0,0.37436054629050747,0,0.0,0.9691021997650742,0,1.0,0.9260198049410147,9,51.0
40.0,8,17.0,0.15178571428571427,9.8157624346324,2,6.0,0.7503475607056611,1,6.0,0.7650852726655516,1,1.0,0.7858116745363597,0,2.0,0.8502298487217379,0,1.0,0.6526964909914531,0,2.0,0.31865417112231215,0,1.0,0.8922778225170248,0,0.0,0.9652162257934868,0,5.0,0.6767348135953426,0,0.0,0.8813205680042249,1,8.0,0.49458496354488357,0,9.0,0.753896131031431,3,15.0,0.22586683588470832,0,4.0,0.8287090813795186,0,0.0,0.7054585887317374,0,1.0,0.8878648695494027,8,61.0
45.0,18,52.0,0.43333333333333335,9.75689038707895,1,4.0,0.7090905291018496,3,16.0,0.631422873503448,1,10.0,0.5433140660668879,2,4.0,0.17031547296459593,0,0.0,0.9632232003649097,0,4.0,0.8347887060054586,0,1.0,0.9701877279822055,0,0.0,0.9299413030750475,0,4.0,0.9496299886928733,0,0.0,0.9284362665122607,6,23.0,0.33928044519556266,2,11.0,0.5992330331371833,0,13.0,0.8558367423885902,0,4.0,0.9228300478770685,2,8.0,0.5200430493542924,1,2.0,0.6433367163830038,18,104.0
