step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.931790324635877,0,0.0,0.9429408177223753,0,0.0,0.9426784068359706,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9412186528494786,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9377539846224114,0,0.0,0.9401905031449989,0,0.0,0.9288654377809682,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9346565356701428,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.967075342880918,0,0.0,0.9477901937060955,0,0.0,0.9464111919773136,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9486121966762646,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9474815095014946,0,0.0,0.948351481417373,0,0.0,0.879975259212548,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.943949513735628,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.243517005763454,0,0.0,0.8370390732947854,0,0.0,0.935158676734126,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9692835687685765,0,0.0,0.9102375935622152,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9801514490063193,0,0.0,0.67592202240104,0,0.0,0.9550002585099525,0,0.0,0.7972065890380223,0,0.0,0.9652993258845334,0,0.0,1.0,0,0.0,0.9532275765238689,0,0.0,0.9077878017685589,0,0.0
20.0,3,13.0,0.23214285714285715,11.746484233677474,1,5.0,0.7072442758718683,0,0.0,0.9767480344692033,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9559654874050122,0,0.0,0.952338717958901,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9509723516178654,2,8.0,0.51570010571465,0,0.0,0.9351217938168263,0,0.0,0.9552130131848555,0,0.0,0.9419839862440199,0,0.0,1.0,0,0.0,0.930416735027345,0,0.0,0.9587402819974123,3,13.0
25.0,3,17.0,0.2361111111111111,10.979363990075472,3,17.0,0.655198469415268,0,0.0,0.8969370609796219,0,0.0,1.0,0,0.0,1.0,0,0.0,0.943692808530948,0,0.0,0.9577182035580369,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9704504012415414,0,3.0,0.5754508609938397,0,0.0,0.7772382845771566,0,0.0,0.860076706376403,0,0.0,0.7581728944914802,0,4.0,0.42133264941845006,0,0.0,0.8174855485549136,0,0.0,0.8264236793246381,3,24.0
30.0,8,17.0,0.2125,10.155165653541188,0,6.0,0.6155667331605194,0,0.0,0.8867207671126386,0,2.0,0.6663257761498892,0,0.0,1.0,1,1.0,0.6205155895685559,0,0.0,0.9327470820673798,0,0.0,0.9467574342713364,0,0.0,1.0,0,0.0,0.8594746046604239,0,0.0,0.9675079950889826,1,3.0,0.6392642955966376,2,5.0,0.7213357546925452,0,0.0,0.8537983408831049,0,4.0,0.8564538747953123,2,7.0,0.5046707093095631,2,5.0,0.33681730727297793,8,33.0
35.0,10,29.0,0.3020833333333333,9.77963648438729,1,3.0,0.7070613160198148,2,6.0,0.714808972183603,0,4.0,0.862417250963748,0,0.0,1.0,3,10.0,0.47275135927833895,0,0.0,1.0,0,0.0,0.8798443509970841,0,0.0,1.0,0,0.0,0.814330848988804,0,0.0,0.9628552516737681,3,13.0,0.6624841111824775,1,1.0,0.27275436193328884,0,0.0,0.834663709888395,0,4.0,0.9144894041919512,0,4.0,0.7085033332667532,0,8.0,0.3797024374739226,10,53.0
40.0,7,22.0,0.19642857142857142,9.808974356609317,0,2.0,0.7451723450657486,0,4.0,0.5280369481945875,0,6.0,0.8841882234971172,0,0.0,0.9171382661630824,0,6.0,0.5666230795862611,0,2.0,0.3913457920783128,2,3.0,0.33802661854644267,0,0.0,1.0,2,7.0,0.714489296829618,1,1.0,0.6501651743754743,0,9.0,0.7557346167928194,2,17.0,0.23940416336193363,0,0.0,0.7866052543464264,0,0.0,0.7088953678911346,0,2.0,0.926164872787475,0,8.0,0.8949523658916859,7,67.0
45.0,13,38.0,0.31666666666666665,9.442213755517093,1,4.0,0.6380047112624154,1,9.0,0.817568783287706,2,10.0,0.5529779703230575,0,0.0,0.9009313940755206,0,0.0,0.9229796644785384,0,4.0,0.8421390630077242,0,1.0,0.1624864740168456,0,2.0,0.38182277431029576,1,4.0,0.5640052581121939,3,13.0,0.501218002874078,2,8.0,0.5694817992309901,0,8.0,0.8849454379066694,1,6.0,0.25872995301711466,1,3.0,0.49997813240052386,1,3.0,0.7371705345005658,0,6.0,0.9389105898606485,13,81.0
50.0,18,79.0,0.5808823529411765,9.405888010249718,0,3.0,0.6882047730708486,0,4.0,0.844242770593377,5,25.0,0.00021259979101638602,0,0.0,0.8935858011823633,0,0.0,0.9320086890147353,0,4.0,0.9347670985826084,0,0.0,1.0,0,4.0,0.8512015823727167,4,17.0,0.5338806845532408,0,6.0,0.6956870390982268,1,12.0,0.3481891249157009,0,8.0,0.8921096213438847,2,20.0,0.7157286519974292,3,22.0,0.30137625489632713,1,12.0,0.6112859946653351,2,7.0,0.5069328101066424,18,144.0
